                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 765.08,                 1.6949,                  701.3,                0.54476,                0.57295,                0.56293,                0.32891,                 1038.8,                 2.0936,                  892.7,               0.003664,               0.003664,               0.003664
                     66,                 805.99,                 1.6759,                 714.93,                0.53872,                0.57879,                 0.5504,                0.33456,                   1022,                 2.0593,                    894,               0.003565,               0.003565,               0.003565
                     67,                 728.63,                 1.6652,                 672.94,                0.55169,                0.53698,                0.57252,                0.35025,                 1015.1,                 2.0483,                 884.97,               0.003466,               0.003466,               0.003466
                     68,                  676.4,                 1.6672,                 631.16,                0.57256,                0.54545,                 0.5801,                0.33922,                 1056.4,                 2.0591,                 894.52,               0.003367,               0.003367,               0.003367
                     69,                 690.87,                 1.6539,                 640.38,                0.65528,                0.54848,                0.61436,                0.37207,                 1015.1,                 1.9789,                 874.75,               0.003268,               0.003268,               0.003268
                     70,                 731.69,                 1.6785,                 671.04,                 0.6382,                0.56127,                0.60247,                0.36597,                   1017,                 1.9973,                  869.3,               0.003169,               0.003169,               0.003169
                     71,                 775.86,                 1.6522,                 697.39,                0.63478,                0.55829,                0.58298,                0.35257,                 1022.3,                 2.0062,                  877.1,                0.00307,                0.00307,                0.00307
                     72,                 677.48,                 1.6402,                 628.94,                0.57784,                0.58484,                0.58671,                0.35145,                 1022.8,                 2.0214,                 865.34,               0.002971,               0.002971,               0.002971
                     73,                 705.65,                 1.6501,                 660.26,                0.61176,                0.53939,                0.58161,                0.35212,                 1018.7,                 2.0579,                 859.26,               0.002872,               0.002872,               0.002872
                     74,                 727.93,                 1.7394,                 674.03,                0.56334,                0.56364,                0.55919,                0.32827,                 1023.2,                 2.0514,                 871.66,               0.002773,               0.002773,               0.002773
                     75,                 736.34,                 1.6099,                  687.4,                 0.5701,                0.55152,                 0.5728,                0.34438,                 1019.9,                  2.062,                 871.45,               0.002674,               0.002674,               0.002674
                     76,                 692.36,                 1.7013,                 646.76,                0.63308,                 0.5303,                0.57719,                0.35067,                 1014.3,                 2.0362,                 877.02,               0.002575,               0.002575,               0.002575
                     77,                 727.98,                 1.6412,                 677.46,                0.62603,                0.52727,                0.56931,                0.34585,                 1013.9,                 2.0177,                 877.45,               0.002476,               0.002476,               0.002476
                     78,                 671.16,                 1.6082,                 639.81,                 0.6499,                0.51818,                0.57524,                0.34307,                 1001.7,                 2.0543,                  878.8,               0.002377,               0.002377,               0.002377
                     79,                 705.18,                 1.6644,                 663.44,                0.62111,                0.57879,                 0.6084,                0.35676,                 1008.2,                 1.9857,                 877.44,               0.002278,               0.002278,               0.002278
                     80,                 650.63,                 1.6096,                 627.13,                0.58981,                0.60606,                0.60959,                0.36786,                 996.68,                 1.9687,                 867.14,               0.002179,               0.002179,               0.002179
                     81,                 707.07,                 1.6073,                 668.53,                0.54371,                0.62468,                0.60118,                0.35353,                 1002.3,                 1.9955,                 874.51,                0.00208,                0.00208,                0.00208
                     82,                 626.65,                 1.6139,                 616.23,                0.56371,                0.60606,                0.59692,                0.34872,                 1024.6,                 1.9841,                 882.48,               0.001981,               0.001981,               0.001981
                     83,                 645.73,                 1.6213,                 627.63,                0.56536,                0.61515,                0.60423,                0.34451,                 1024.7,                 1.9955,                  876.8,               0.001882,               0.001882,               0.001882
                     84,                 676.96,                 1.5885,                 652.24,                0.67202,                0.53333,                0.61562,                0.36651,                 1011.5,                  1.962,                 874.65,               0.001783,               0.001783,               0.001783
                     85,                 635.78,                 1.5792,                 632.53,                0.61687,                 0.5855,                 0.6118,                 0.3673,                 1007.6,                 1.9609,                 878.64,               0.001684,               0.001684,               0.001684
                     86,                 705.63,                 1.6033,                 682.09,                0.64717,                0.58182,                0.62627,                0.37634,                 1022.6,                 1.9443,                 883.62,               0.001585,               0.001585,               0.001585
                     87,                 685.69,                  1.568,                 664.07,                 0.6652,                 0.5697,                0.61924,                0.37217,                 1018.2,                 1.9361,                 878.72,               0.001486,               0.001486,               0.001486
                     88,                 669.93,                 1.6291,                 659.77,                0.63366,                0.54545,                0.61125,                0.37276,                   1002,                 1.9469,                 868.12,               0.001387,               0.001387,               0.001387
                     89,                 605.79,                   1.66,                 610.01,                0.61047,                0.59364,                0.60574,                0.36617,                 1002.3,                 1.9843,                 879.41,               0.001288,               0.001288,               0.001288
                     90,                 675.84,                 1.5752,                 660.97,                0.63121,                0.57273,                0.61316,                 0.3702,                 1003.9,                 1.9758,                 877.35,               0.001189,               0.001189,               0.001189
                     91,                 655.53,                 1.6787,                 645.95,                0.67338,                0.55602,                0.62516,                0.36531,                 1025.9,                 1.9709,                    898,                0.00109,                0.00109,                0.00109
                     92,                    628,                 1.5578,                 633.64,                0.60616,                0.61515,                0.61699,                0.36786,                 1012.6,                 1.9758,                 884.88,               0.000991,               0.000991,               0.000991
                     93,                 645.46,                 1.5734,                 635.83,                0.58873,                0.61515,                 0.5992,                0.36425,                 1012.2,                 1.9728,                 895.24,               0.000892,               0.000892,               0.000892
                     94,                 587.89,                 1.5503,                 606.23,                0.59269,                0.60411,                0.60764,                0.36647,                 1008.2,                 1.9625,                 885.76,               0.000793,               0.000793,               0.000793
                     95,                 592.77,                 1.7833,                 603.98,                0.57587,                0.62424,                0.61758,                0.37022,                 1010.3,                 1.9479,                 888.07,               0.000694,               0.000694,               0.000694
                     96,                 586.09,                 1.5375,                 606.29,                0.62185,                0.60297,                0.62148,                0.37665,                 1004.7,                   1.94,                 881.18,               0.000595,               0.000595,               0.000595
                     97,                 617.49,                 1.5465,                  618.4,                0.64401,                0.58485,                0.62725,                0.38139,                 1011.8,                 1.9406,                 889.44,               0.000496,               0.000496,               0.000496
                     98,                 617.51,                 1.6063,                 622.58,                0.64788,                0.56667,                0.63063,                0.38504,                 1011.8,                 1.9278,                 883.74,               0.000397,               0.000397,               0.000397
                     99,                 584.36,                 1.5664,                 607.06,                0.65942,                0.59394,                0.64072,                0.38675,                 1014.8,                  1.924,                 885.12,               0.000298,               0.000298,               0.000298
